date,value
2015-05-14,1278985.5706999977
2015-05-15,1283212.7339999978
2015-05-18,1288861.7040999979
2015-05-19,1292908.9148999979
2015-05-20,1297588.837799998
2015-05-21,1298151.498599998
2015-05-22,1299799.3113999981
2015-05-25,1304548.067999998
2015-05-26,1305759.6555999978
2015-05-27,1306675.228099998
2015-05-28,1309817.901799998
2015-05-29,1310393.8760999981
2015-06-01,1311622.5284999982
2015-06-02,1310191.1528999982
2015-06-03,1308453.4349999982
2015-06-04,1309498.033199998
2015-06-05,1308718.1402999982
2015-06-08,1308929.4332999983
2015-06-09,1297071.6878999982
2015-06-10,1294695.2230999982
2015-06-11,1306537.1915999982
2015-06-12,1305561.3532999982
2015-06-15,1304751.0920999981
2015-06-16,1300331.8790999982
2015-06-17,1297477.7051999983
2015-06-18,1289809.8624999982
2015-06-19,1295544.7297999982
2015-06-22,1302588.3660999981
2015-06-23,1314478.4083999982
2015-06-24,1316465.3902999982
2015-06-25,1313866.7843999981
2015-06-26,1311715.138799998
2015-06-29,1293307.552999998
2015-06-30,1296354.9084999978
2015-07-01,1299252.295099998
2015-07-02,1304634.1481999978
2015-07-03,1304610.7142999978
2015-07-06,1290855.776699998
2015-07-07,1298931.479199998
2015-07-08,1277712.748099998
2015-07-09,1279752.3068999979
2015-07-10,1278044.6369999982
2015-07-13,1288780.879699998
2015-07-14,1298883.7199999979
2015-07-15,1300964.006399998
2015-07-16,1304853.3316999981
2015-07-17,1306066.933799998
2015-07-21,1312229.3378999978
2015-07-22,1305603.0789999978
2015-07-23,1307693.7332999979
2015-07-24,1301974.6733999979
2015-07-27,1295426.392099998
2015-07-28,1294044.185799998
2015-07-29,1293527.058499998
2015-07-30,1301138.599499998
2015-07-31,1304430.961999998
2015-08-03,1301435.120699998
2015-08-04,1300278.609599998
2015-08-05,1302779.7222999982
2015-08-06,1305397.3713999982
2015-08-07,1307165.946299998
2015-08-10,1309271.156099998
2015-08-11,1307082.630999998
2015-08-12,1296631.174999998
2015-08-13,1303001.918399998
2015-08-14,1299847.841099998
2015-08-17,1303878.381599998
2015-08-18,1302073.3306999982
2015-08-19,1292109.4445999982
2015-08-20,1284871.432599998
2015-08-21,1265198.7666999982
2015-08-24,1233766.6457999982
2015-08-25,1210329.5497999983
2015-08-26,1228906.9383999985
2015-08-27,1235116.6190999984
2015-08-28,1253991.1809999985
2015-08-31,1246497.0577999984
2015-09-01,1223922.0120999985
2015-09-02,1220102.2638999987
2015-09-03,1222759.4612999987
2015-09-04,1211285.3470999987
2015-09-07,1212341.2798999986
2015-09-08,1200406.7378999987
2015-09-09,1239002.8352999985
2015-09-10,1226605.5298999986
2015-09-11,1225952.3303999985
2015-09-14,1219426.9159999983
2015-09-15,1221450.0277999984
2015-09-16,1225527.1630999984
2015-09-17,1233272.0944999985
2015-09-18,1219454.8153999986
2015-09-24,1204222.9705999985
2015-09-25,1214667.5772999986
2015-09-28,1211900.3790999986
2015-09-29,1189561.8604999986
2015-09-30,1202505.0950999986
2015-10-01,1210622.6816999987
2015-10-02,1211452.7821999986
2015-10-05,1220494.5703999987
2015-10-06,1226124.3922999986
2015-10-07,1233155.5640999987
2015-10-08,1228383.9717999985
2015-10-09,1240059.7943999986
2015-10-13,1236087.2500999984
2015-10-14,1224070.6167999986
2015-10-15,1230341.6574999986
2015-10-16,1236737.4369999985
2015-10-19,1232045.1918999986
2015-10-20,1232978.0594999986
2015-10-21,1245159.5073999986
2015-10-22,1241835.8338999986
2015-10-23,1254169.1917999985
2015-10-26,1257931.3928999985
2015-10-27,1251451.6092999985
2015-10-28,1254169.5146999983
2015-10-29,1254639.7942999983
2015-10-30,1259047.9350999983
2015-11-02,1244631.2492999984
2015-11-04,1250346.3597999983
2015-11-05,1257469.3183999984
2015-11-06,1261139.0199999984
2015-11-09,1270766.9381999983
2015-11-10,1270905.5827999983
2015-11-11,1272324.7635999983
2015-11-12,1272334.0622999985
2015-11-13,1269189.5159999984
2015-11-16,1262616.3488999982
2015-11-17,1270679.4680999983
